CaseID,WEIGHT,PROVINCP,PCRUR,PCSIZEP,TYPDWELP,TENURYRP,RPINCTOT,RPMARP,RPAGEGRP,RPSEX,RPWEEKFT,RPWEEKPT,RPHIGHED,RPDISABL,SPINCTOT,SPAGEGRP,SPSEXP,SPWEEKFT,SPWEEKPT,SPHIGHED,SPDISABL,HHTYPEP,CH04TOIP,NMCH0517,NMYT1824,NMAD2564,SE65TOIP,HHSZTOTP,AGEYOUNP,NUMFTP,NUMPTP,HHINCTOT,TOTEXP
797.0,409.0,12.0,2.0,3.0,1.0,2.0,35000.0,1.0,6.0,1.0,52.0,0.0,3.0,0.0,18000.0,6.0,2.0,40.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,10.0,1.0,1.0,53000.0,34838.0
799.0,3685.0,24.0,1.0,1.0,1.0,2.0,43000.0,1.0,7.0,2.0,52.0,0.0,2.0,0.0,49000.0,7.0,1.0,52.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,19.0,2.0,0.0,99000.0,73190.0
801.0,291.0,13.0,1.0,1.0,1.0,2.0,80000.0,1.0,3.0,1.0,52.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,80000.0,108510.0
802.0,2504.0,24.0,1.0,2.0,5.0,4.0,42000.0,1.0,14.0,1.0,0.0,0.0,5.0,0.0,11000.0,13.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,53000.0,33415.0
803.0,1312.0,59.0,2.0,3.0,1.0,1.0,11000.0,3.0,10.0,2.0,0.0,0.0,6.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,11000.0,12568.0
805.0,337.0,13.0,2.0,3.0,1.0,4.0,50000.0,1.0,4.0,1.0,52.0,0.0,7.0,0.0,2600.0,5.0,2.0,8.0,0.0,7.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,8.0,1.0,1.0,53000.0,47113.0
806.0,1876.0,48.0,2.0,3.0,1.0,2.0,58000.0,1.0,6.0,2.0,38.0,28.0,5.0,0.0,88000.0,7.0,1.0,52.0,0.0,5.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,5.0,15.0,2.0,2.0,160000.0,112519.0
808.0,321.0,47.0,2.0,3.0,1.0,1.0,13000.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,13000.0,11.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,26000.0,19520.0
809.0,61.0,60.0,1.0,2.0,1.0,3.0,46000.0,1.0,3.0,2.0,52.0,0.0,6.0,0.0,45000.0,3.0,1.0,52.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,4.0,99.0,2.0,0.0,130000.0,105193.0
811.0,323.0,13.0,1.0,1.0,1.0,1.0,11000.0,1.0,11.0,2.0,0.0,0.0,3.0,0.0,24000.0,11.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,36000.0,29170.0
812.0,2161.0,24.0,1.0,1.0,5.0,1.0,230000.0,1.0,8.0,2.0,52.0,0.0,8.0,0.0,0.0,10.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,99.0,1.0,0.0,230000.0,137501.0
814.0,34.0,60.0,1.0,2.0,1.0,2.0,100000.0,2.0,6.0,2.0,52.0,0.0,7.0,0.0,,,,,,,,5.0,0.0,2.0,0.0,1.0,0.0,3.0,11.0,1.0,0.0,100000.0,118458.0
817.0,1486.0,48.0,1.0,1.0,1.0,2.0,260000.0,1.0,7.0,1.0,52.0,0.0,5.0,0.0,26000.0,6.0,2.0,0.0,40.0,5.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,4.0,18.0,2.0,2.0,330000.0,136408.0
819.0,225.0,13.0,1.0,1.0,1.0,2.0,7400.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,72000.0,5.0,1.0,52.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,79000.0,44900.0
820.0,41.0,60.0,1.0,2.0,6.0,3.0,29000.0,1.0,2.0,2.0,17.0,12.0,2.0,0.0,33000.0,1.0,1.0,32.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,99.0,0.0,2.0,62000.0,54981.0
823.0,1065.0,48.0,1.0,1.0,1.0,1.0,110000.0,1.0,6.0,2.0,52.0,0.0,8.0,0.0,150000.0,6.0,1.0,52.0,0.0,8.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,5.0,7.0,2.0,0.0,260000.0,75226.0
824.0,69.0,60.0,1.0,2.0,1.0,1.0,12000.0,1.0,8.0,2.0,0.0,25.0,5.0,0.0,50000.0,7.0,1.0,32.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,0.0,2.0,62000.0,36640.0
825.0,763.0,46.0,2.0,3.0,1.0,3.0,43000.0,3.0,7.0,1.0,52.0,0.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,43000.0,35108.0
826.0,1581.0,48.0,1.0,1.0,1.0,3.0,28000.0,1.0,4.0,2.0,24.0,0.0,8.0,0.0,42000.0,4.0,1.0,42.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,70000.0,58306.0
828.0,341.0,46.0,1.0,1.0,1.0,1.0,76000.0,2.0,6.0,2.0,52.0,0.0,7.0,0.0,,,,,,,,7.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,2.0,0.0,110000.0,81909.0
829.0,1738.0,24.0,1.0,1.0,1.0,2.0,63000.0,3.0,6.0,2.0,42.0,0.0,6.0,0.0,,,,,,,,5.0,0.0,1.0,0.0,1.0,0.0,2.0,11.0,0.0,1.0,63000.0,72657.0
832.0,1267.0,48.0,1.0,1.0,1.0,1.0,1200.0,1.0,4.0,2.0,0.0,0.0,5.0,0.0,100000.0,6.0,1.0,52.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,100000.0,37156.0
836.0,404.0,13.0,1.0,2.0,1.0,2.0,52000.0,2.0,3.0,1.0,52.0,0.0,7.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,52000.0,41496.0
837.0,983.0,59.0,1.0,1.0,1.0,1.0,70000.0,1.0,7.0,1.0,0.0,15.0,8.0,0.0,60000.0,6.0,2.0,0.0,45.0,8.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,5.0,12.0,0.0,3.0,180000.0,78413.0
